CHARACTER	KARLGREN	KARLGRENCODE	XIESHENG	PINYIN	MCH
冠	0160	a	元	guān	kwanH
冢	1218	h	豖	zhǒng	trjowngX
冤	0261	a	兔	yuān	'jwon
冥	0841	a	冥	míng	mengX
冥	0841	a	冥	míng	meng
冪	0802	s	幕	mì	mek
冫	0899	a	仌	bīng	ping
冬	1002	a	𠔾	dōng	towng
冰	0899	b	冫	bīng	ping
况	0765	f	兄	kuàng	xjwangX
冶	0976	p'	台	yě	yaeX
冷	0823	h	令	lěng	lengX
冽	0291	b	𠜊	liè	ljet
凊	0812	h'	靑	qìng	tshjengH
凋	1083	o	周	diāo	tew
凌	0898	f	夌	líng	ling
凍	1175	e	東	dòng	tuwngH
凔	0703	c	倉	chuàng	tshang
凔	0703	c	倉	chuàng	tsrhjangH
凘	0869	c	斯	sī	sje
凝	0956	h	疑	níng	nging
几	0602	a	几	jǐ	kijX
凡	0625	a	凡	fán	bjom
凭	0900	a	馮	píng	bingH
凭	0900	a	馮	píng	bing
凰	0708	l	皇	huáng	hwang
凱	0548	b	豈	kǎi	khojX
凶	1183	a	凶	xiōng	xjowng
凷	0510	a	土	kuài	khwojH
出	0496	a	出	chū	tsyhwijH
出	0496	a	出	chū	tsyhwit
函	0643	b	圅	hán	heam
函	0643	b	圅	hán	hom
刀	1131	a	刀	dāo	taw
刀	1131	a	刀	dāo	tew
刃	0456	a	刃	rèn	nyinH
分	0471	a	分	fēn	pjun
分	0471	a	分	fēn	bjunH
切	0400	f	七	qiè	tshet
刈	0347	b	乂	yì	ngjojH
刉	0517	p	气	jī	kjɨjH
刊	0139	n	干	kān	khan
刌	0431	c	寸	cǔn	tshwonX
刎	0503	n	勿	wěn	mjunX
刑	0808	b	??	xíng	heng
划	0007	e	畫	huà	hwae
